Year,State,Population
1999,Alabama,4430141
1999,Alaska,624779
1999,Arizona,5023823
1999,Arkansas,2651860
1999,California,33499204
1999,Colorado,4226018
1999,Connecticut,3386401
1999,Delaware,774990
1999,District of Columbia,570213
1999,Florida,15759421
1999,Georgia,8045965
1999,Hawaii,1210300
1999,Idaho,1275674
1999,Illinois,12359020
1999,Indiana,6044969
1999,Iowa,2917634
1999,Kansas,2678338
1999,Kentucky,4018053
1999,Louisiana,4460811
1999,Maine,1266808
1999,Maryland,5254509
1999,Massachusetts,6317345
1999,Michigan,9897116
1999,Minnesota,4873481
1999,Mississippi,2828408
1999,Missouri,5561948
1999,Montana,897507
1999,Nebraska,1704764
1999,Nevada,1934718
1999,New Hampshire,1222014
1999,New Jersey,8359592
1999,New Mexico,1808082
1999,New York,18882725
1999,North Carolina,7949361
1999,North Dakota,644259
1999,Ohio,11335454
1999,Oklahoma,3437147
1999,Oregon,3393941
1999,Pennsylvania,12263805
1999,Rhode Island,1040402
1999,South Carolina,3974682
1999,South Dakota,750412
1999,Tennessee,5638706
1999,Texas,20558220
1999,Utah,2203482
1999,Vermont,604683
1999,Virginia,7000174
1999,Washington,5842564
1999,West Virginia,1811799
1999,Wisconsin,5332666
1999,Wyoming,491780
2000,Alabama,4447100
2000,Alaska,626932
2000,Arizona,5130632
2000,Arkansas,2673400
2000,California,33871648
2000,Colorado,4301261
2000,Connecticut,3405565
2000,Delaware,783600
2000,District of Columbia,572059
2000,Florida,15982378
2000,Georgia,8186453
2000,Hawaii,1211537
2000,Idaho,1293953
2000,Illinois,12419293
2000,Indiana,6080485
2000,Iowa,2926324
2000,Kansas,2688418
2000,Kentucky,4041769
2000,Louisiana,4468976
2000,Maine,1274923
2000,Maryland,5296486
2000,Massachusetts,6349097
2000,Michigan,9938444
2000,Minnesota,4919479
2000,Mississippi,2844658
2000,Missouri,5595211
2000,Montana,902195
2000,Nebraska,1711263
2000,Nevada,1998257
2000,New Hampshire,1235786
2000,New Jersey,8414350
2000,New Mexico,1819046
2000,New York,18976457
2000,North Carolina,8049313
2000,North Dakota,642200
2000,Ohio,11353140
2000,Oklahoma,3450654
2000,Oregon,3421399
2000,Pennsylvania,12281054
2000,Rhode Island,1048319
2000,South Carolina,4012012
2000,South Dakota,754844
2000,Tennessee,5689283
2000,Texas,20851820
2000,Utah,2233169
2000,Vermont,608827
2000,Virginia,7078515
2000,Washington,5894121
2000,West Virginia,1808344
2000,Wisconsin,5363675
2000,Wyoming,493782
2001,Alabama,4467634
2001,Alaska,633714
2001,Arizona,5273477
2001,Arkansas,2691571
2001,California,34479458
2001,Colorado,4425687
2001,Connecticut,3432835
2001,Delaware,795699
2001,District of Columbia,574504
2001,Florida,16356966
2001,Georgia,8377038
2001,Hawaii,1225948
2001,Idaho,1319962
2001,Illinois,12488445
2001,Indiana,6127760
2001,Iowa,2931997
2001,Kansas,2702162
2001,Kentucky,4068132
2001,Louisiana,4477875
2001,Maine,1285692
2001,Maryland,5374691
2001,Massachusetts,6397634
2001,Michigan,9991120
2001,Minnesota,4982796
2001,Mississippi,2852994
2001,Missouri,5641142
2001,Montana,906961
2001,Nebraska,1719836
2001,Nevada,2098399
2001,New Hampshire,1255517
2001,New Jersey,8492671
2001,New Mexico,1831690
2001,New York,19082838
2001,North Carolina,8210122
2001,North Dakota,639062
2001,Ohio,11387404
2001,Oklahoma,3467100
2001,Oregon,3467937
2001,Pennsylvania,12298970
2001,Rhode Island,1057142
2001,South Carolina,4064995
2001,South Dakota,757972
2001,Tennessee,5750789
2001,Texas,21319622
2001,Utah,2283715
2001,Vermont,612223
2001,Virginia,7198362
2001,Washington,5985722
2001,West Virginia,1801481
2001,Wisconsin,5406835
2001,Wyoming,494657
2002,Alabama,4480089
