"Notes"	"Year"	"Year Code"	"State"	"State Code"	Projected Populations
	"2004"	"2004"	"Alabama"	"01"	4513207
	"2004"	"2004"	"Alaska"	"02"	655349
	"2004"	"2004"	"Arizona"	"04"	5723060
	"2004"	"2004"	"Arkansas"	"05"	2756801
	"2004"	"2004"	"California"	"06"	35627966
	"2004"	"2004"	"Colorado"	"08"	4574908
	"2004"	"2004"	"Connecticut"	"09"	3485593
	"2004"	"2004"	"Delaware"	"10"	826804
	"2004"	"2004"	"District of Columbia"	"11"	555363
	"2004"	"2004"	"Florida"	"12"	17182574
	"2004"	"2004"	"Georgia"	"13"	8791776
	"2004"	"2004"	"Hawaii"	"15"	1261599
	"2004"	"2004"	"Idaho"	"16"	1385861
	"2004"	"2004"	"Illinois"	"17"	12650414
	"2004"	"2004"	"Indiana"	"18"	6219190
	"2004"	"2004"	"Iowa"	"19"	2964689
	"2004"	"2004"	"Kansas"	"20"	2740172
	"2004"	"2004"	"Kentucky"	"21"	4140973
	"2004"	"2004"	"Louisiana"	"22"	4516622
	"2004"	"2004"	"Maine"	"23"	1310421
	"2004"	"2004"	"Maryland"	"24"	5539487
	"2004"	"2004"	"Massachusetts"	"25"	6488615
	"2004"	"2004"	"Michigan"	"26"	10158867
	"2004"	"2004"	"Minnesota"	"27"	5126608
	"2004"	"2004"	"Mississippi"	"28"	2903196
	"2004"	"2004"	"Missouri"	"29"	5733240
	"2004"	"2004"	"Montana"	"30"	925739
	"2004"	"2004"	"Nebraska"	"31"	1738973
	"2004"	"2004"	"Nevada"	"32"	2287735
	"2004"	"2004"	"New Hampshire"	"33"	1300732
	"2004"	"2004"	"New Jersey"	"34"	8684081
	"2004"	"2004"	"New Mexico"	"35"	1884402
	"2004"	"2004"	"New York"	"36"	19206895
	"2004"	"2004"	"North Carolina"	"37"	8575978
	"2004"	"2004"	"North Dakota"	"38"	635067
	"2004"	"2004"	"Ohio"	"39"	11453779
	"2004"	"2004"	"Oklahoma"	"40"	3507229
	"2004"	"2004"	"Oregon"	"41"	3560595
	"2004"	"2004"	"Pennsylvania"	"42"	12391530
	"2004"	"2004"	"Rhode Island"	"44"	1079675
	"2004"	"2004"	"South Carolina"	"45"	4196813
	"2004"	"2004"	"South Dakota"	"46"	768663
	"2004"	"2004"	"Tennessee"	"47"	5912726
	"2004"	"2004"	"Texas"	"48"	22402761
	"2004"	"2004"	"Utah"	"49"	2383663
	"2004"	"2004"	"Vermont"	"50"	626673
	"2004"	"2004"	"Virginia"	"51"	7460774
	"2004"	"2004"	"Washington"	"53"	6144988
	"2004"	"2004"	"West Virginia"	"54"	1814736
	"2004"	"2004"	"Wisconsin"	"55"	5518758
	"2004"	"2004"	"Wyoming"	"56"	504251
	"2005"	"2005"	"Alabama"	"01"	4527166
	"2005"	"2005"	"Alaska"	"02"	661110
	"2005"	"2005"	"Arizona"	"04"	5868004
	"2005"	"2005"	"Arkansas"	"05"	2777007
	"2005"	"2005"	"California"	"06"	36038859
	"2005"	"2005"	"Colorado"	"08"	4617962
	"2005"	"2005"	"Connecticut"	"09"	3503185
	"2005"	"2005"	"Delaware"	"10"	836687
	"2005"	"2005"	"District of Columbia"	"11"	551136
	"2005"	"2005"	"Florida"	"12"	17509827
	"2005"	"2005"	"Georgia"	"13"	8925796
	"2005"	"2005"	"Hawaii"	"15"	1276552
	"2005"	"2005"	"Idaho"	"16"	1407060
	"2005"	"2005"	"Illinois"	"17"	12699336
	"2005"	"2005"	"Indiana"	"18"	6249617
	"2005"	"2005"	"Iowa"	"19"	2973700
	"2005"	"2005"	"Kansas"	"20"	2751509
	"2005"	"2005"	"Kentucky"	"21"	4163360
	"2005"	"2005"	"Louisiana"	"22"	4534310
	"2005"	"2005"	"Maine"	"23"	1318557
